Team,PassingAttempts,CompPassingAttemp,Yds/PassAtt,Pass Yds,PassTD,INTGiven,SckGivenUp,RushAttempts,Rush Yds,YardsPerCarry,RushTD,Receptions,ReceptionYds,Yds/Reception,Tot TD,2-PT,INTMade,Rec FUM,Rush FUM,FieldGoalsMade,AttFG,Wins,Losses,OppPtsPerGame,PtsPerGame
49ers,302,195,8.2,2466,15,6,19,291,1232,4.2,12,195,2466,12.6,29,2,4,5,8,15,18,5,5,22.5,25.5
Bears,271,163,6.8,1832,7,9,36,286,1321,4.6,9,163,1832,11.2,18,0,5,1,3,13,15,3,7,23.1,16.3
Bengals,319,218,8.5,2704,22,11,28,263,1033,3.9,10,218,2704,12.4,32,1,8,3,3,15,18,6,4,20.5,28.1
Bills,390,256,7.3,2839,21,9,15,253,1188,4.7,12,256,2839,11.1,34,2,15,4,3,19,22,6,4,16.5,29.6
Broncos,342,234,7.3,2502,14,6,30,247,1115,4.5,7,234,2502,10.7,21,1,8,0,2,18,21,5,5,17.8,20.7
Browns,323,206,7.6,2452,11,6,31,329,1725,5.2,17,206,2452,11.9,29,3,7,3,5,13,16,6,5,22.3,21.2
Buccaneers,432,291,7.5,3244,29,8,13,219,912,4.2,8,291,3244,11.1,39,0,12,4,1,13,17,7,3,23,31.5
Cardinals,356,261,8.5,3029,20,8,26,337,1353,4,17,261,3029,11.6,38,0,8,6,3,15,20,9,2,18.4,28.2
Chargers,395,261,7.4,2927,22,8,18,231,1061,4.6,10,261,2927,11.2,32,4,6,4,3,13,14,6,4,26.6,24.8
Chiefs,466,306,7.1,3298,25,11,20,270,1231,4.6,8,306,3298,10.8,34,0,10,2,6,15,18,7,4,22.7,25.5
Colts,359,225,7,2509,18,4,18,315,1627,5.2,16,225,2509,11.2,36,1,13,2,7,20,23,6,5,23.6,28.3
Cowboys,375,259,7.9,2960,22,8,19,287,1338,4.7,9,259,2960,11.4,35,3,15,1,2,17,21,7,3,22.7,29.6
Dolphins,429,279,6.4,2754,14,10,27,247,851,3.4,7,279,2754,9.9,23,2,7,7,4,13,18,4,7,23.3,19.5
Eagles,323,199,7.2,2317,13,5,20,338,1687,5,17,199,2317,11.6,34,5,8,3,5,18,20,5,6,22.8,25.3
Falcons,363,239,6.7,2446,15,13,20,230,786,3.4,4,239,2446,10.2,19,1,4,3,3,15,17,4,6,27.5,18.1
Football Team,334,220,7.2,2403,15,9,23,281,1229,4.4,7,220,2403,10.9,23,0,6,3,3,19,24,4,6,26.7,21.2
Giants,360,231,6.8,2457,10,9,22,233,929,4,7,231,2457,10.6,18,3,10,3,1,20,22,3,7,23,18.4
Jaguars,358,210,6.1,2174,8,9,19,227,1125,5,10,210,2174,10.4,20,1,4,1,4,8,14,2,8,25.7,15.7
Jets,400,248,7,2793,15,18,27,209,789,3.8,6,248,2793,11.3,21,3,3,4,5,11,16,2,8,30.4,18.1
Lions,358,236,6.2,2203,8,8,27,245,1142,4.7,9,236,2203,9.3,17,4,7,4,2,13,16,0,9,26.3,15.8
Packers,369,243,7.7,2829,22,5,22,282,1188,4.2,7,243,2829,11.6,29,0,11,0,5,15,23,8,3,20.2,23.6
Panthers,381,231,6.3,2383,10,12,26,315,1271,4,12,231,2383,10.3,23,2,8,2,8,21,23,5,6,21.1,19.7
Patriots,359,254,7.7,2774,16,8,22,310,1279,4.1,13,254,2774,10.9,32,2,18,3,2,26,28,7,4,15.8,28
Raiders,374,254,8.1,3041,16,9,22,225,837,3.7,8,254,3041,12,24,0,4,2,6,19,22,5,5,26.8,23.5
Rams,367,247,8.2,3021,24,9,15,243,979,4,7,247,3021,12.2,31,1,12,2,1,18,19,7,3,23.9,27.2
Ravens,356,230,7.6,2705,14,9,34,316,1510,4.8,12,230,2705,11.8,27,2,5,1,2,20,22,7,3,21.8,23.9
Saints,313,184,6.9,2146,22,6,17,287,1179,4.1,9,184,2146,11.7,33,0,11,2,3,10,13,5,5,22.6,23.4
Seahawks,286,189,7.9,2266,15,4,33,231,984,4.3,8,189,2266,12,24,0,4,1,3,9,13,3,7,20.9,19.4
Steelers,394,254,6.3,2501,14,5,21,244,907,3.7,7,254,2501,9.8,22,0,4,5,3,21,22,5,4,24.3,20.4
Texans,322,209,6.6,2120,10,11,26,242,765,3.2,6,209,2120,10.1,16,1,13,4,6,13,16,2,8,26.5,14.9
Titans,371,247,7.3,2692,14,12,31,340,1419,4.2,16,247,2692,10.9,34,2,9,4,3,18,21,8,3,24.2,25.3
Vikings,376,256,7.4,2786,21,2,14,280,1192,4.3,5,256,2786,10.9,28,1,8,3,0,21,25,5,5,25.1,25.5
